[0m[ INFO] [1435766961.215021705]: 47 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.228754 , -0.0353097 , 0.148124 ,  , elbowR: , -1.11022e-16 , -3.0926e-17 , 1 , -2.06826e-05 , elbowD: , -0.00387022 , -0.327054 , 0.0155834 , [0m
[0m[ INFO] [1435766961.248304222]: 48 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.228754 , -0.0353097 , 0.148124 ,  , elbowR: , -1.11022e-16 , -3.0926e-17 , 1 , -2.06826e-05 , elbowD: , -0.00387022 , -0.327054 , 0.0155834 , [0m
[0m[ INFO] [1435766961.281691422]: 49 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.215373 , -0.426744 , 0.489385 ,  , elbowR: , -1.11022e-16 , -3.0926e-17 , 1 , -2.06826e-05 , elbowD: , -0.00401383 , -0.327083 , 0.0138091 , [0m
[0m[ INFO] [1435766961.315048526]: 50 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.204145 , -0.284866 , 0.460589 ,  , elbowR: , -1.11022e-16 , -3.09243e-17 , 1 , -2.06826e-05 , elbowD: , -0.00532764 , -0.32712 , 0.012326 , [0m
[0m[ INFO] [1435766961.348448552]: 51 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.20415 , -0.283955 , 0.460093 ,  , elbowR: , -1.11022e-16 , -3.09243e-17 , 1 , -2.06826e-05 , elbowD: , -0.00368302 , -0.327289 , 0.00584542 , [0m
[0m[ INFO] [1435766961.381678760]: 52 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.193999 , 0.141459 , -0.24656 ,  , elbowR: , -1.11022e-16 , -3.09243e-17 , 1 , -2.06826e-05 , elbowD: , -0.00142334 , -0.327321 , 0.00607132 , [0m
[0m[ INFO] [1435766961.415097198]: 53 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.189844 , 0.100405 , -0.229316 ,  , elbowR: , -1.11022e-16 , -3.09243e-17 , 1 , -2.06826e-05 , elbowD: , -0.000463807 , -0.327313 , 0.00991537 , [0m
[0m[ INFO] [1435766961.448385502]: 54 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.189844 , 0.100405 , -0.229316 ,  , elbowR: , -1.11022e-16 , -3.09243e-17 , 1 , -2.06826e-05 , elbowD: , -0.000463807 , -0.327313 , 0.00991537 , [0m
[0m[ INFO] [1435766961.481682933]: 55 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.188979 , 0.0505313 , -0.186111 ,  , elbowR: , -1.11022e-16 , -3.09243e-17 , 1 , -2.06826e-05 , elbowD: , 0.00310328 , -0.327244 , 0.0109837 , [0m
[0m[ INFO] [1435766961.515091195]: 56 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.190209 , 0.0340526 , -0.164853 ,  , elbowR: , -1.11022e-16 , -3.09243e-17 , 1 , -2.06826e-05 , elbowD: , 0.00624287 , -0.327186 , 0.0113931 , [0m
