[0m[ INFO] [1435766580.417776538]: 84 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.327643 , 0.213734 , 0.42299 ,  , elbowR: , 0.191123 , 0.869377 , -0.358014 , 0.281926 , elbowD: , 0.125304 , -0.352338 , -0.224806 , [0m
[0m[ INFO] [1435766580.451171199]: 85 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.330672 , 0.206318 , 0.420422 ,  , elbowR: , 0.198717 , 0.870058 , -0.356976 , 0.275825 , elbowD: , 0.126223 , -0.358121 , -0.225842 , [0m
[0m[ INFO] [1435766580.484492083]: 86 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.329843 , 0.315909 , 0.340681 ,  , elbowR: , 0.201584 , 0.870926 , -0.356027 , 0.272208 , elbowD: , 0.127066 , -0.360212 , -0.226771 , [0m
[0m[ INFO] [1435766580.517777864]: 87 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.324009 , 0.395989 , 0.258688 ,  , elbowR: , 0.198531 , 0.871894 , -0.356702 , 0.270462 , elbowD: , 0.127001 , -0.358544 , -0.229258 , [0m
[0m[ INFO] [1435766580.551102227]: 88 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.34091 , 0.166443 , 0.443724 ,  , elbowR: , 0.201565 , 0.870337 , -0.35844 , 0.270935 , elbowD: , 0.126864 , -0.361522 , -0.229748 , [0m
[0m[ INFO] [1435766580.584485386]: 89 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.349627 , 0.181236 , 0.444698 ,  , elbowR: , 0.203384 , 0.870763 , -0.359151 , 0.267239 , elbowD: , 0.127669 , -0.363551 , -0.229693 , [0m
[0m[ INFO] [1435766580.617791782]: 90 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.34093 , 0.200643 , 0.431873 ,  , elbowR: , 0.213264 , 0.86895 , -0.359756 , 0.264612 , elbowD: , 0.127493 , -0.370242 , -0.226576 , [0m
[0m[ INFO] [1435766580.651187090]: 91 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.351226 , 0.201131 , 0.43305 ,  , elbowR: , 0.22227 , 0.865222 , -0.361117 , 0.267548 , elbowD: , 0.125898 , -0.375089 , -0.223673 , [0m
[0m[ INFO] [1435766580.684456443]: 92 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.344891 , 0.213889 , 0.423828 ,  , elbowR: , 0.223946 , 0.865577 , -0.36075 , 0.26549 , elbowD: , 0.127012 , -0.376285 , -0.223603 , [0m
[0m[ INFO] [1435766580.717875340]: 93 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.34989 , 0.214004 , 0.429029 ,  , elbowR: , 0.227393 , 0.866019 , -0.359663 , 0.262574 , elbowD: , 0.127 , -0.378505 , -0.223759 , [0m
[0m[ INFO] [1435766580.751126930]: 94 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.343294 , 0.339449 , 0.337324 ,  , elbowR: , 0.23145 , 0.864593 , -0.359565 , 0.263861 , elbowD: , 0.126527 , -0.37988 , -0.222569 , [0m
