[0m[ INFO] [1435600676.839892857]: 77 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.247395 , -0.0268709 , 0.0037629 ,  , elbowR: , 0.131474 , -0.5631 , 0.814407 , -0.0487307 , elbowD: , 0.0375674 , -0.396716 , -0.265447 , [0m
[0m[ INFO] [1435600676.873281540]: 78 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.246258 , -0.0259258 , 0.00214645 ,  , elbowR: , 0.12535 , -0.555198 , 0.820406 , -0.0545572 , elbowD: , 0.0384629 , -0.399792 , -0.258459 , [0m
[0m[ INFO] [1435600676.906614453]: 79 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.246258 , -0.0259258 , 0.00214645 ,  , elbowR: , 0.12535 , -0.555198 , 0.820406 , -0.0545572 , elbowD: , 0.0384629 , -0.399792 , -0.258459 , [0m
[0m[ INFO] [1435600676.939956243]: 80 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.245892 , -0.0252091 , -6.68049e-05 ,  , elbowR: , 0.101309 , -0.540424 , 0.833215 , -0.0585672 , elbowD: , 0.0472243 , -0.397683 , -0.250288 , [0m
[0m[ INFO] [1435600676.973284127]: 81 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.245197 , -0.0252362 , 0.0020297 ,  , elbowR: , 0.0844181 , -0.539981 , 0.83584 , -0.0516223 , elbowD: , 0.0489262 , -0.394176 , -0.250077 , [0m
[0m[ INFO] [1435600677.006605783]: 82 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.245197 , -0.0252362 , 0.0020297 ,  , elbowR: , 0.0844181 , -0.539981 , 0.83584 , -0.0516223 , elbowD: , 0.0489262 , -0.394176 , -0.250077 , [0m
[0m[ INFO] [1435600677.039977704]: 83 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.245913 , -0.0247143 , -0.00377673 ,  , elbowR: , 0.0545283 , -0.560797 , 0.825049 , -0.0427429 , elbowD: , 0.0420424 , -0.380234 , -0.271625 , [0m
[0m[ INFO] [1435600677.073226081]: 84 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.245913 , -0.0247143 , -0.00377673 ,  , elbowR: , 0.042737 , -0.571877 , 0.818346 , -0.03794 , elbowD: , 0.0368015 , -0.372379 , -0.281989 , [0m
[0m[ INFO] [1435600677.106501701]: 85 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.244001 , -0.0234193 , -0.00460769 ,  , elbowR: , 0.042737 , -0.571877 , 0.818346 , -0.03794 , elbowD: , 0.0368015 , -0.372379 , -0.281989 , [0m
[0m[ INFO] [1435600677.139875331]: 86 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.243601 , -0.0211769 , -0.00356944 ,  , elbowR: , 0.0241816 , -0.568859 , 0.821415 , -0.0330395 , elbowD: , 0.0364662 , -0.36975 , -0.277071 , [0m
[0m[ INFO] [1435600677.173175006]: 87 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.243601 , -0.0211769 , -0.00356944 ,  , elbowR: , 0.0241816 , -0.568859 , 0.821415 , -0.0330395 , elbowD: , 0.0364662 , -0.36975 , -0.277071 , [0m
[0m[ INFO] [1435600677.206533134]: 88 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.244359 , -0.0204078 , -0.00326233 ,  , elbowR: , 0.016728 , -0.568595 , 0.822007 , -0.0269264 , elbowD: , 0.0340176 , -0.369215 , -0.275844 , [0m
[0m[ INFO] [1435600677.239816534]: 89 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.244368 , -0.0204143 , -0.00326969 ,  , elbowR: , 0.0219182 , -0.562576 , 0.825943 , -0.0290859 , elbowD: , 0.0320688 , -0.373116 , -0.269235 , [0m
