[0m[ INFO] [1435600752.781060329]: 72 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.240908 , 0.0115284 , 0.00647942 ,  , elbowR: , -0.0298968 , -0.60391 , 0.79626 , 0.0192139 , elbowD: , 0.0103866 , -0.389943 , -0.338768 , [0m
[0m[ INFO] [1435600752.814432381]: 73 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.240312 , 0.0113516 , 0.00430705 ,  , elbowR: , -0.0280763 , -0.618001 , 0.785477 , 0.017683 , elbowD: , 0.0176274 , -0.388982 , -0.334696 , [0m
[0m[ INFO] [1435600752.847791150]: 74 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.241772 , 0.014368 , 0.00744871 ,  , elbowR: , -0.0301279 , -0.633126 , 0.773301 , 0.0157664 , elbowD: , 0.0262735 , -0.38789 , -0.333673 , [0m
[0m[ INFO] [1435600752.881121574]: 75 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.242013 , 0.0152558 , 0.00518352 ,  , elbowR: , -0.0330229 , -0.643527 , 0.7645 , 0.0179387 , elbowD: , 0.0307456 , -0.390006 , -0.333985 , [0m
[0m[ INFO] [1435600752.914437002]: 76 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.244831 , 0.0165476 , 0.00551889 ,  , elbowR: , -0.0491734 , -0.595083 , 0.802158 , 0.00121539 , elbowD: , 0.0108093 , -0.393068 , -0.336355 , [0m
[0m[ INFO] [1435600752.947769506]: 77 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.244377 , 0.0181406 , 0.0119814 ,  , elbowR: , -0.0562242 , -0.594155 , 0.802322 , -0.00995521 , elbowD: , 0.0084868 , -0.38888 , -0.344261 , [0m
[0m[ INFO] [1435600752.981034159]: 78 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.244536 , 0.0173107 , 0.0103687 ,  , elbowR: , -0.0684376 , -0.547172 , 0.834215 , 0.00191625 , elbowD: , -0.0089834 , -0.387181 , -0.34404 , [0m
[0m[ INFO] [1435600753.014424041]: 79 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.242862 , 0.0186242 , 0.015583 ,  , elbowR: , -0.0655428 , -0.532074 , 0.844147 , -0.00411694 , elbowD: , -0.0135389 , -0.383383 , -0.337361 , [0m
[0m[ INFO] [1435600753.047727294]: 80 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.24348 , 0.0193046 , 0.0191008 ,  , elbowR: , -0.0639043 , -0.531083 , 0.844904 , -0.0022243 , elbowD: , -0.0273845 , -0.382021 , -0.33367 , [0m
[0m[ INFO] [1435600753.081089088]: 81 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.24193 , 0.0183151 , 0.0103073 ,  , elbowR: , -0.0635122 , -0.527296 , 0.847271 , -0.00747196 , elbowD: , -0.0306846 , -0.378086 , -0.329175 , [0m
[0m[ INFO] [1435600753.114437652]: 82 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.239043 , 0.0181872 , 0.0107367 ,  , elbowR: , -0.0602205 , -0.528343 , 0.846882 , -0.00426108 , elbowD: , -0.037811 , -0.380134 , -0.331229 , [0m
[0m[ INFO] [1435600753.147779439]: 83 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.242734 , 0.0184615 , 0.0142611 ,  , elbowR: , -0.0573451 , -0.527406 , 0.847658 , -0.00556631 , elbowD: , -0.0341017 , -0.379137 , -0.330734 , [0m
[0m[ INFO] [1435600753.181014006]: 84 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.242494 , 0.0189892 , 0.0180898 ,  , elbowR: , -0.0532357 , -0.527632 , 0.847795 , -0.00382397 , elbowD: , -0.0297927 , -0.379213 , -0.330261 , [0m
[0m[ INFO] [1435600753.214419851]: 85 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.240116 , 0.017585 , 0.0179513 ,  , elbowR: , -0.0484123 , -0.525799 , 0.849203 , -0.00682592 , elbowD: , -0.0254057 , -0.37894 , -0.328095 , [0m
[0m[ INFO] [1435600753.247744939]: 86 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.242118 , 0.0170338 , 0.0162213 ,  , elbowR: , -0.0463808 , -0.522995 , 0.85103 , -0.00849102 , elbowD: , -0.021334 , -0.377089 , -0.328102 , [0m
[0m[ INFO] [1435600753.281063752]: 87 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.242987 , 0.0157567 , 0.0180213 ,  , elbowR: , -0.0374473 , -0.522441 , 0.851603 , -0.0206213 , elbowD: , -0.0109657 , -0.377487 , -0.327871 , [0m
[0m[ INFO] [1435600753.314379996]: 88 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.243085 , 0.0137587 , 0.0121616 ,  , elbowR: , -0.0406921 , -0.52027 , 0.852457 , -0.0313136 , elbowD: , -0.0072865 , -0.375955 , -0.325725 , [0m
