ID,X,Y,Z,x,y,z,w,X,Y,Z,x,y,z,w,X,Y,Z,x,y,z,w,Class
77,0.221573,1.22996,0.471605,-0.0275202,0.0345677,-0.0303609,0.998562,0.07605,0.554789,0.514961,0.609213,0.0699169,-0.0436337,0.788712,0.195491,0.778384,0.49602,-0.0244602,0.0345128,-0.0291252,0.99868,1
78,0.0328582,1.53272,-0.0317605,-0.0461622,-0.126808,0.0762936,0.987911,0.0126336,0.833026,0.0287649,0.0381841,-0.0471798,-0.0556071,0.996606,0.0900964,1.07752,0.0242427,-0.0581434,-0.12838,0.0627742,0.988027,0
79,0.220571,1.14699,0.394833,-0.0557915,0.0259867,-0.0306309,0.997634,0.0797001,0.473901,0.469274,0.68188,0.0747455,-0.057033,0.725396,0.196786,0.697688,0.44195,-0.0473684,0.0260672,-0.0248447,0.998228,1
80,0.214402,0.849509,0.396669,-0.0354206,0.0141409,-0.0230987,0.999005,0.0798342,0.168263,0.44432,0.892604,0.0277279,-0.0807595,0.442683,0.194707,0.394088,0.427174,-0.0309842,0.0141161,-0.0209823,0.9992,1
81,0.0750381,1.5596,0.246775,0.0297699,0.759847,-0.149156,0.632059,-0.0432642,0.906707,0.479287,0.221127,0.429852,0.159909,0.860674,-0.0218259,1.11567,0.332015,0.0140673,0.763383,-0.129421,0.632691,0
82,0.223125,1.1367,0.368793,-0.0958988,0.0368717,-0.0193914,0.994519,0.0969257,0.467429,0.493047,0.686093,0.0507824,-0.0679807,0.722549,0.209594,0.690759,0.448552,-0.0798621,0.0368338,-0.0171027,0.995978,1
83,0.304163,1.54598,-0.0143141,-0.0584995,-0.334798,0.0432154,0.939479,0.232305,0.848987,0.0154178,0.119693,0.0331914,-0.199528,0.971988,0.313994,1.0886,0.0499314,-0.0653497,-0.336312,0.0224319,0.939213,0
84,0.223125,1.1367,0.368793,-0.0958988,0.0368717,-0.0193914,0.994519,0.0969257,0.467429,0.493047,0.686093,0.0507824,-0.0679807,0.722549,0.209594,0.690759,0.448552,-0.0798621,0.0368338,-0.0171027,0.995978,1
85,0.20198,0.890106,0.874334,0.12705,0.0545278,-0.0209247,0.990175,0.052812,0.23618,0.671539,0.818784,0.0837581,-0.0150398,0.567759,0.175934,0.45694,0.73973,0.173247,0.0531356,-0.0206651,0.983227,1
86,0.201008,0.864273,0.888566,0.107206,-0.0274263,-0.000163144,0.993858,0.0919451,0.198006,0.694047,0.830228,0.0957231,-0.0355666,0.54799,0.201854,0.42296,0.770751,0.151056,-0.0267566,-0.00497805,0.98815,1
87,0.205659,0.860455,0.802631,0.00802322,0.0731105,-0.0161378,0.997161,0.0715585,0.170584,0.769309,0.830384,0.0643351,-0.0234417,0.552968,0.189241,0.40436,0.776465,0.0500809,0.0723398,-0.0155248,0.996001,1
88,0.204493,0.812527,0.988523,0.0826108,-0.0486453,0.00141623,0.995393,0.0967989,0.143386,0.821813,0.826893,0.122657,-0.00812542,0.548759,0.206369,0.36997,0.892428,0.128661,-0.0476273,-0.00719006,0.990518,1
89,0.182887,0.857964,0.906476,0.0855456,-0.00157923,0.0262848,0.995986,0.104838,0.179527,0.743848,0.830759,0.102229,-0.0347663,0.546059,0.204531,0.413247,0.806604,0.133261,0.0000898,0.0216088,0.990845,1
90,0.21481,0.848987,0.893418,0.113229,0.0378724,-0.00530411,0.992833,0.0888798,0.19182,0.68703,0.836815,0.0539638,-0.0478878,0.542712,0.204544,0.413741,0.761465,0.178071,0.0372761,-0.00630476,0.983291,1
91,0.687351,1.42447,0.227765,-0.0895835,-0.36677,-0.128816,0.916985,0.385684,0.789689,0.195963,0.0285292,-0.300178,-0.312121,0.900922,0.538748,0.9858,0.257828,-0.0921697,-0.366986,-0.148082,0.913728,0
